            	bedroom	coast	field	forest	highway	house	industrial	kitchen	livingroom	mountain	stadium	store	street	tallbuilding	underwater
bedroom     	19.0   	2.0  	4.0  	1.0   	4.0    	3.0  	3.0       	21.0   	14.0      	3.0     	2.0    	11.0 	1.0   	2.0         	0.0       
coast       	0.0    	14.0 	4.0  	0.0   	4.0    	5.0  	6.0       	2.0    	2.0       	9.0     	5.0    	0.0  	2.0   	4.0         	1.0       
field       	2.0    	4.0  	26.0 	0.0   	9.0    	4.0  	9.0       	0.0    	0.0       	2.0     	15.0   	0.0  	1.0   	1.0         	1.0       
forest      	9.0    	6.0  	18.0 	69.0  	3.0    	18.0 	13.0      	10.0   	7.0       	18.0    	21.0   	15.0 	4.0   	16.0        	16.0      
highway     	2.0    	12.0 	3.0  	0.0   	41.0   	2.0  	12.0      	0.0    	0.0       	4.0     	4.0    	0.0  	1.0   	5.0         	2.0       
house       	3.0    	4.0  	3.0  	0.0   	3.0    	13.0 	4.0       	2.0    	1.0       	0.0     	6.0    	2.0  	4.0   	0.0         	0.0       
industrial  	0.0    	15.0 	5.0  	1.0   	8.0    	2.0  	21.0      	1.0    	1.0       	9.0     	1.0    	1.0  	4.0   	14.0        	2.0       
kitchen     	20.0   	1.0  	5.0  	1.0   	4.0    	1.0  	4.0       	14.0   	19.0      	1.0     	2.0    	8.0  	2.0   	1.0         	0.0       
livingroom  	17.0   	5.0  	5.0  	3.0   	5.0    	3.0  	4.0       	20.0   	23.0      	1.0     	2.0    	9.0  	3.0   	3.0         	0.0       
mountain    	0.0    	7.0  	7.0  	3.0   	7.0    	7.0  	7.0       	0.0    	0.0       	10.0    	6.0    	0.0  	1.0   	7.0         	0.0       
stadium     	1.0    	3.0  	6.0  	5.0   	2.0    	6.0  	2.0       	4.0    	0.0       	7.0     	22.0   	1.0  	6.0   	0.0         	0.0       
store       	24.0   	1.0  	4.0  	8.0   	3.0    	10.0 	1.0       	20.0   	30.0      	6.0     	5.0    	53.0 	8.0   	6.0         	1.0       
street      	3.0    	3.0  	4.0  	1.0   	4.0    	19.0 	1.0       	4.0    	1.0       	3.0     	7.0    	0.0  	54.0  	7.0         	1.0       
tallbuilding	0.0    	13.0 	4.0  	2.0   	1.0    	5.0  	9.0       	1.0    	0.0       	5.0     	0.0    	0.0  	7.0   	18.0        	3.0       
underwater  	0.0    	10.0 	2.0  	6.0   	2.0    	2.0  	4.0       	1.0    	2.0       	22.0    	2.0    	0.0  	2.0   	16.0        	73.0      

Accuracy = 31.333333333333336%
