            	bedroom	coast	field	forest	highway	house	industrial	kitchen	livingroom	mountain	stadium	store	street	tallbuilding	underwater
bedroom     	24.0   	4.0  	1.0  	3.0   	1.0    	9.0  	1.0       	28.0   	21.0      	3.0     	3.0    	12.0 	1.0   	4.0         	0.0       
coast       	3.0    	28.0 	0.0  	1.0   	3.0    	6.0  	6.0       	2.0    	3.0       	4.0     	4.0    	1.0  	3.0   	7.0         	3.0       
field       	0.0    	4.0  	55.0 	7.0   	7.0    	9.0  	5.0       	1.0    	1.0       	7.0     	28.0   	0.0  	2.0   	3.0         	3.0       
forest      	2.0    	3.0  	4.0  	38.0  	0.0    	7.0  	1.0       	3.0    	5.0       	0.0     	6.0    	6.0  	2.0   	0.0         	1.0       
highway     	1.0    	15.0 	16.0 	4.0   	58.0   	8.0  	25.0      	1.0    	3.0       	11.0    	6.0    	2.0  	8.0   	6.0         	8.0       
house       	1.0    	4.0  	3.0  	13.0  	3.0    	20.0 	2.0       	4.0    	4.0       	9.0     	6.0    	5.0  	6.0   	3.0         	3.0       
industrial  	3.0    	13.0 	3.0  	3.0   	8.0    	6.0  	33.0      	1.0    	3.0       	17.0    	3.0    	1.0  	2.0   	26.0        	5.0       
kitchen     	10.0   	1.0  	0.0  	5.0   	1.0    	1.0  	0.0       	14.0   	11.0      	0.0     	2.0    	12.0 	2.0   	3.0         	1.0       
livingroom  	29.0   	1.0  	3.0  	2.0   	1.0    	0.0  	2.0       	24.0   	21.0      	0.0     	4.0    	17.0 	2.0   	1.0         	0.0       
mountain    	2.0    	11.0 	9.0  	4.0   	8.0    	10.0 	10.0      	0.0    	0.0       	23.0    	15.0   	0.0  	6.0   	7.0         	5.0       
stadium     	4.0    	3.0  	3.0  	0.0   	3.0    	4.0  	2.0       	0.0    	1.0       	1.0     	15.0   	0.0  	2.0   	1.0         	3.0       
store       	12.0   	2.0  	1.0  	5.0   	1.0    	4.0  	3.0       	16.0   	23.0      	2.0     	1.0    	41.0 	1.0   	1.0         	3.0       
street      	7.0    	2.0  	0.0  	12.0  	4.0    	9.0  	1.0       	4.0    	3.0       	7.0     	6.0    	3.0  	62.0  	8.0         	1.0       
tallbuilding	1.0    	4.0  	2.0  	0.0   	0.0    	4.0  	7.0       	2.0    	1.0       	5.0     	1.0    	0.0  	1.0   	21.0        	2.0       
underwater  	1.0    	5.0  	0.0  	3.0   	2.0    	3.0  	2.0       	0.0    	0.0       	11.0    	0.0    	0.0  	0.0   	9.0         	62.0      

Accuracy = 34.333333333333336%
