            	bedroom	coast	field	forest	highway	house	industrial	kitchen	livingroom	mountain	stadium	store	street	tallbuilding	underwater
bedroom     	29.0   	3.0  	0.0  	4.0   	1.0    	4.0  	8.0       	25.0   	28.0      	1.0     	1.0    	15.0 	3.0   	4.0         	0.0       
coast       	4.0    	19.0 	1.0  	1.0   	4.0    	6.0  	4.0       	1.0    	2.0       	2.0     	1.0    	0.0  	3.0   	10.0        	3.0       
field       	2.0    	5.0  	52.0 	7.0   	7.0    	19.0 	6.0       	3.0    	2.0       	13.0    	25.0   	4.0  	3.0   	5.0         	6.0       
forest      	6.0    	3.0  	8.0  	61.0  	3.0    	7.0  	5.0       	12.0   	10.0      	9.0     	13.0   	15.0 	7.0   	9.0         	9.0       
highway     	3.0    	28.0 	21.0 	1.0   	67.0   	6.0  	24.0      	3.0    	6.0       	12.0    	9.0    	0.0  	8.0   	8.0         	5.0       
house       	1.0    	1.0  	0.0  	2.0   	0.0    	7.0  	0.0       	3.0    	1.0       	1.0     	1.0    	1.0  	1.0   	0.0         	0.0       
industrial  	9.0    	13.0 	4.0  	3.0   	3.0    	9.0  	41.0      	2.0    	4.0       	14.0    	3.0    	0.0  	3.0   	31.0        	4.0       
kitchen     	11.0   	1.0  	1.0  	1.0   	0.0    	2.0  	0.0       	16.0   	12.0      	1.0     	2.0    	10.0 	2.0   	2.0         	1.0       
livingroom  	13.0   	1.0  	0.0  	0.0   	1.0    	1.0  	1.0       	11.0   	14.0      	0.0     	0.0    	10.0 	0.0   	0.0         	0.0       
mountain    	2.0    	9.0  	10.0 	4.0   	7.0    	12.0 	8.0       	0.0    	0.0       	29.0    	20.0   	0.0  	8.0   	7.0         	4.0       
stadium     	4.0    	8.0  	3.0  	2.0   	3.0    	9.0  	1.0       	4.0    	4.0       	6.0     	19.0   	0.0  	4.0   	4.0         	3.0       
store       	12.0   	1.0  	0.0  	6.0   	2.0    	7.0  	0.0       	15.0   	15.0      	0.0     	2.0    	43.0 	3.0   	1.0         	1.0       
street      	4.0    	6.0  	0.0  	7.0   	2.0    	6.0  	1.0       	3.0    	1.0       	4.0     	4.0    	2.0  	55.0  	7.0         	1.0       
tallbuilding	0.0    	0.0  	0.0  	1.0   	0.0    	3.0  	0.0       	2.0    	0.0       	0.0     	0.0    	0.0  	0.0   	4.0         	0.0       
underwater  	0.0    	2.0  	0.0  	0.0   	0.0    	2.0  	1.0       	0.0    	1.0       	8.0     	0.0    	0.0  	0.0   	8.0         	63.0      

Accuracy = 34.599999999999994%
