            	bedroom	coast	field	forest	highway	house	industrial	kitchen	livingroom	mountain	stadium	store	street	tallbuilding	underwater
bedroom     	13.0   	3.0  	2.0  	1.0   	2.0    	2.0  	4.0       	14.0   	9.0       	1.0     	1.0    	8.0  	5.0   	2.0         	0.0       
coast       	1.0    	14.0 	2.0  	1.0   	6.0    	3.0  	6.0       	2.0    	1.0       	5.0     	2.0    	0.0  	5.0   	4.0         	2.0       
field       	1.0    	3.0  	20.0 	0.0   	5.0    	3.0  	7.0       	0.0    	2.0       	1.0     	8.0    	0.0  	0.0   	4.0         	1.0       
forest      	9.0    	6.0  	12.0 	63.0  	3.0    	22.0 	11.0      	11.0   	9.0       	21.0    	24.0   	15.0 	5.0   	17.0        	10.0      
highway     	2.0    	13.0 	5.0  	0.0   	37.0   	4.0  	12.0      	2.0    	0.0       	6.0     	5.0    	0.0  	3.0   	10.0        	0.0       
house       	6.0    	8.0  	11.0 	1.0   	3.0    	18.0 	5.0       	2.0    	0.0       	5.0     	14.0   	3.0  	7.0   	1.0         	2.0       
industrial  	0.0    	14.0 	6.0  	0.0   	13.0   	3.0  	21.0      	2.0    	1.0       	8.0     	2.0    	0.0  	5.0   	10.0        	3.0       
kitchen     	20.0   	2.0  	2.0  	2.0   	3.0    	2.0  	2.0       	15.0   	14.0      	1.0     	1.0    	8.0  	4.0   	0.0         	0.0       
livingroom  	18.0   	3.0  	6.0  	2.0   	3.0    	2.0  	2.0       	24.0   	28.0      	1.0     	3.0    	9.0  	2.0   	2.0         	0.0       
mountain    	3.0    	8.0  	7.0  	3.0   	8.0    	5.0  	8.0       	0.0    	1.0       	8.0     	8.0    	0.0  	7.0   	10.0        	2.0       
stadium     	0.0    	3.0  	7.0  	6.0   	3.0    	4.0  	2.0       	2.0    	1.0       	5.0     	19.0   	3.0  	2.0   	0.0         	2.0       
store       	23.0   	4.0  	14.0 	13.0  	3.0    	11.0 	1.0       	21.0   	33.0      	4.0     	5.0    	52.0 	6.0   	3.0         	0.0       
street      	2.0    	0.0  	1.0  	2.0   	4.0    	8.0  	1.0       	4.0    	1.0       	4.0     	6.0    	1.0  	45.0  	3.0         	1.0       
tallbuilding	0.0    	5.0  	2.0  	2.0   	5.0    	8.0  	9.0       	0.0    	0.0       	6.0     	1.0    	0.0  	2.0   	12.0        	2.0       
underwater  	2.0    	14.0 	3.0  	4.0   	2.0    	5.0  	9.0       	1.0    	0.0       	24.0    	1.0    	1.0  	2.0   	22.0        	75.0      

Accuracy = 29.333333333333332%
