            	bedroom	coast	field	forest	highway	house	industrial	kitchen	livingroom	mountain	stadium	store	street	tallbuilding	underwater
bedroom     	12.0   	1.0  	0.0  	0.0   	3.0    	0.0  	2.0       	14.0   	9.0       	1.0     	2.0    	9.0  	5.0   	2.0         	0.0       
coast       	0.0    	15.0 	4.0  	1.0   	5.0    	1.0  	7.0       	2.0    	1.0       	3.0     	4.0    	0.0  	2.0   	0.0         	1.0       
field       	1.0    	2.0  	21.0 	1.0   	0.0    	3.0  	2.0       	0.0    	1.0       	2.0     	9.0    	0.0  	0.0   	2.0         	1.0       
forest      	10.0   	7.0  	14.0 	68.0  	4.0    	22.0 	11.0      	12.0   	9.0       	22.0    	22.0   	19.0 	6.0   	15.0        	15.0      
highway     	1.0    	14.0 	4.0  	0.0   	43.0   	1.0  	17.0      	2.0    	0.0       	5.0     	7.0    	0.0  	2.0   	12.0        	0.0       
house       	4.0    	8.0  	5.0  	1.0   	3.0    	14.0 	3.0       	2.0    	1.0       	1.0     	8.0    	3.0  	2.0   	2.0         	1.0       
industrial  	1.0    	9.0  	5.0  	1.0   	11.0   	4.0  	15.0      	1.0    	1.0       	9.0     	1.0    	0.0  	6.0   	12.0        	3.0       
kitchen     	23.0   	1.0  	7.0  	2.0   	4.0    	2.0  	3.0       	19.0   	12.0      	0.0     	1.0    	3.0  	1.0   	1.0         	0.0       
livingroom  	16.0   	5.0  	6.0  	3.0   	2.0    	3.0  	1.0       	19.0   	25.0      	2.0     	1.0    	11.0 	1.0   	2.0         	0.0       
mountain    	3.0    	8.0  	9.0  	3.0   	9.0    	5.0  	14.0      	0.0    	1.0       	8.0     	11.0   	0.0  	6.0   	8.0         	1.0       
stadium     	3.0    	3.0  	5.0  	4.0   	3.0    	6.0  	3.0       	1.0    	1.0       	7.0     	20.0   	3.0  	3.0   	0.0         	0.0       
store       	23.0   	2.0  	12.0 	9.0   	3.0    	11.0 	2.0       	23.0   	38.0      	4.0     	5.0    	50.0 	7.0   	4.0         	0.0       
street      	3.0    	1.0  	3.0  	2.0   	3.0    	13.0 	3.0       	3.0    	1.0       	5.0     	6.0    	1.0  	52.0  	3.0         	1.0       
tallbuilding	0.0    	9.0  	3.0  	2.0   	3.0    	12.0 	8.0       	1.0    	0.0       	7.0     	0.0    	0.0  	6.0   	17.0        	4.0       
underwater  	0.0    	15.0 	2.0  	3.0   	4.0    	3.0  	9.0       	1.0    	0.0       	24.0    	3.0    	1.0  	1.0   	20.0        	73.0      

Accuracy = 30.133333333333333%
