            	bedroom	coast	field	forest	highway	house	industrial	kitchen	livingroom	mountain	stadium	store	street	tallbuilding	underwater
bedroom     	15.0   	1.0  	1.0  	1.0   	1.0    	2.0  	4.0       	15.0   	5.0       	3.0     	1.0    	6.0  	4.0   	2.0         	0.0       
coast       	0.0    	18.0 	5.0  	1.0   	5.0    	6.0  	5.0       	2.0    	2.0       	6.0     	4.0    	0.0  	5.0   	3.0         	5.0       
field       	1.0    	2.0  	22.0 	0.0   	3.0    	3.0  	7.0       	0.0    	1.0       	4.0     	7.0    	0.0  	2.0   	2.0         	1.0       
forest      	8.0    	7.0  	14.0 	64.0  	3.0    	19.0 	12.0      	11.0   	10.0      	19.0    	23.0   	14.0 	5.0   	15.0        	13.0      
highway     	1.0    	14.0 	6.0  	0.0   	41.0   	2.0  	15.0      	3.0    	0.0       	4.0     	4.0    	0.0  	3.0   	9.0         	0.0       
house       	7.0    	9.0  	9.0  	2.0   	5.0    	21.0 	5.0       	2.0    	2.0       	3.0     	11.0   	4.0  	5.0   	0.0         	2.0       
industrial  	0.0    	8.0  	5.0  	0.0   	8.0    	4.0  	17.0      	1.0    	0.0       	5.0     	3.0    	0.0  	4.0   	9.0         	3.0       
kitchen     	19.0   	3.0  	4.0  	1.0   	4.0    	3.0  	3.0       	18.0   	15.0      	1.0     	2.0    	11.0 	5.0   	2.0         	0.0       
livingroom  	16.0   	4.0  	4.0  	3.0   	3.0    	0.0  	1.0       	20.0   	31.0      	1.0     	1.0    	11.0 	1.0   	2.0         	0.0       
mountain    	3.0    	6.0  	6.0  	3.0   	8.0    	5.0  	8.0       	0.0    	1.0       	10.0    	7.0    	0.0  	7.0   	10.0        	2.0       
stadium     	0.0    	2.0  	6.0  	5.0   	1.0    	3.0  	1.0       	1.0    	1.0       	5.0     	17.0   	4.0  	1.0   	0.0         	0.0       
store       	25.0   	5.0  	12.0 	11.0  	4.0    	10.0 	1.0       	23.0   	30.0      	3.0     	7.0    	49.0 	6.0   	5.0         	0.0       
street      	4.0    	2.0  	2.0  	1.0   	5.0    	9.0  	3.0       	3.0    	2.0       	5.0     	9.0    	0.0  	48.0  	3.0         	0.0       
tallbuilding	0.0    	7.0  	2.0  	2.0   	7.0    	7.0  	8.0       	0.0    	0.0       	5.0     	2.0    	0.0  	1.0   	9.0         	2.0       
underwater  	1.0    	12.0 	2.0  	6.0   	2.0    	6.0  	10.0      	1.0    	0.0       	26.0    	2.0    	1.0  	3.0   	29.0        	72.0      

Accuracy = 30.133333333333333%
