                         	artichoke	ruby-lipped cattleya	frangipani	pink-yellow dahlia?	buttercup	orange dahlia	red ginger	desert-rose	hippeastrum	sword lily	pelargonium	siam tulip	camellia	snapdragon	osteospermum	blanket flower	alpine sea holly	garden phlox	foxglove	japanese anemone	tree poppy	sweet pea	grape hyacinth	morning glory	king protea	thorn apple	bee balm	wild pansy	bolero deep blue	bougainvillea	peruvian lily	yellow iris	bearded iris	fritillary	black-eyed susan	stemless gentian	common dandelion	clematis	primula	bromelia	great masterwort	fire lily	lotus	english marigold	colt's foot	monkshood	spear thistle	gazania	water lily	canterbury bells	bird of paradise	tree mallow	globe thistle	californian poppy	moon orchid	mexican petunia	balloon flower	poinsettia	pincushion flower	barbeton daisy	marigold	hard-leaved pocket orchid	toad lily	mexican aster	columbine	oxeye daisy	magnolia	azalea	blackberry lily	silverbush	canna lily	passion flower	cyclamen	sunflower	petunia	daffodil	geranium	watercress	mallow	prince of wales feathers	purple coneflower	cautleya spicata	trumpet creeper	gaura	giant white arum lily	bishop of llandaff	hibiscus	ball moss	anthurium	cape flower	wallflower	love in the mist	carnation	sweet william	spring crocus	tiger lily	pink primrose	rose	globe-flower	lenten rose	windflower	corn poppy
spear thistle            	2.0      	0.0                 	2.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	1.0        	0.0       	0.0     	1.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	1.0          	0.0        	0.0        	1.0     	2.0       	1.0             	0.0          	0.0          	0.0        	0.0         	1.0       	0.0             	2.0             	0.0             	0.0     	0.0    	1.0     	0.0             	0.0      	1.0  	0.0             	0.0        	0.0      	3.0          	0.0    	0.0       	1.0             	1.0             	0.0        	0.0          	0.0              	0.0        	0.0            	1.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	1.0     	0.0   	0.0            	0.0       	1.0       	1.0           	1.0     	0.0      	0.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	1.0             	0.0            	1.0  	0.0                  	0.0               	0.0     	2.0      	0.0      	1.0        	0.0       	0.0             	0.0      	1.0          	0.0          	0.0       	0.0          	1.0 	0.0         	2.0        	0.0       	0.0       
gazania                  	0.0      	0.0                 	0.0       	1.0                	1.0      	1.0          	0.0       	0.0        	0.0        	0.0       	0.0        	0.0       	0.0     	0.0       	0.0         	1.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	1.0             	0.0             	1.0             	0.0     	1.0    	0.0     	0.0             	0.0      	0.0  	1.0             	0.0        	0.0      	0.0          	13.0   	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	2.0           	1.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	2.0       	0.0           	0.0     	3.0      	0.0    	1.0     	0.0     	7.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	2.0     	0.0      	0.0      	0.0        	14.0      	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	1.0 	0.0         	0.0        	0.0       	0.0       
water lily               	0.0      	3.0                 	5.0       	4.0                	0.0      	0.0          	0.0       	0.0        	0.0        	1.0       	0.0        	0.0       	2.0     	0.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	1.0       	0.0      	0.0           	0.0          	0.0        	1.0        	0.0     	1.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	1.0     	0.0    	0.0     	1.0             	0.0      	4.0  	0.0             	0.0        	0.0      	0.0          	0.0    	15.0      	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	1.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	2.0        	1.0     	0.0   	0.0            	0.0       	1.0       	0.0           	0.0     	0.0      	0.0    	1.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	1.0                  	0.0               	1.0     	0.0      	0.0      	0.0        	0.0       	0.0             	2.0      	0.0          	0.0          	0.0       	0.0          	3.0 	0.0         	0.0        	0.0       	0.0       
canterbury bells         	1.0      	1.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	2.0       	0.0        	0.0       	0.0     	1.0       	1.0         	0.0           	2.0             	0.0         	2.0     	0.0             	1.0       	0.0      	1.0           	1.0          	0.0        	1.0        	0.0     	1.0       	3.0             	0.0          	0.0          	0.0        	1.0         	0.0       	0.0             	1.0             	0.0             	5.0     	3.0    	0.0     	1.0             	0.0      	1.0  	0.0             	0.0        	2.0      	0.0          	0.0    	0.0       	1.0             	0.0             	0.0        	3.0          	0.0              	0.0        	3.0            	3.0           	0.0       	1.0              	0.0           	0.0     	0.0                      	1.0      	0.0          	1.0      	0.0        	0.0     	0.0   	0.0            	0.0       	0.0       	3.0           	0.0     	0.0      	3.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	1.0              	0.0             	1.0            	2.0  	0.0                  	0.0               	0.0     	1.0      	0.0      	1.0        	0.0       	1.0             	0.0      	2.0          	0.0          	0.0       	0.0          	0.0 	0.0         	1.0        	0.0       	0.0       
bird of paradise         	0.0      	0.0                 	1.0       	2.0                	0.0      	2.0          	0.0       	0.0        	0.0        	0.0       	0.0        	0.0       	0.0     	1.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	1.0    	0.0     	0.0             	2.0      	0.0  	0.0             	1.0        	0.0      	1.0          	1.0    	0.0       	0.0             	20.0            	0.0        	1.0          	1.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	0.0     	1.0                      	0.0      	0.0          	1.0      	0.0        	0.0     	0.0   	0.0            	0.0       	0.0       	0.0           	0.0     	0.0      	2.0    	0.0     	0.0     	1.0       	0.0   	0.0                     	0.0              	2.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	0.0        	2.0       	0.0             	0.0      	1.0          	0.0          	0.0       	0.0          	0.0 	2.0         	2.0        	0.0       	0.0       
tree mallow              	2.0      	2.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	1.0        	0.0       	0.0        	0.0       	3.0     	0.0       	0.0         	0.0           	0.0             	1.0         	8.0     	0.0             	0.0       	0.0      	0.0           	1.0          	0.0        	0.0        	0.0     	0.0       	1.0             	5.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	1.0     	1.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	1.0       	0.0             	0.0             	2.0        	0.0          	0.0              	0.0        	1.0            	0.0           	1.0       	0.0              	1.0           	0.0     	0.0                      	0.0      	2.0          	0.0      	0.0        	0.0     	4.0   	0.0            	0.0       	0.0       	1.0           	3.0     	0.0      	0.0    	0.0     	0.0     	0.0       	1.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	4.0     	1.0      	0.0      	1.0        	0.0       	0.0             	1.0      	5.0          	0.0          	0.0       	0.0          	5.0 	0.0         	0.0        	0.0       	0.0       
globe thistle            	1.0      	0.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	1.0        	0.0       	0.0     	0.0       	0.0         	0.0           	1.0             	0.0         	2.0     	0.0             	0.0       	1.0      	1.0           	1.0          	0.0        	0.0        	0.0     	0.0       	0.0             	1.0          	1.0          	0.0        	0.0         	2.0       	0.0             	0.0             	0.0             	0.0     	1.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	2.0          	0.0    	1.0       	0.0             	0.0             	0.0        	7.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	0.0       	12.0          	1.0     	0.0      	3.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	1.0                  	0.0               	0.0     	1.0      	0.0      	0.0        	0.0       	1.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
californian poppy        	0.0      	0.0                 	0.0       	3.0                	3.0      	2.0          	0.0       	0.0        	0.0        	1.0       	0.0        	0.0       	1.0     	1.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	1.0        	0.0        	0.0     	0.0       	0.0             	2.0          	0.0          	3.0        	0.0         	0.0       	1.0             	0.0             	8.0             	0.0     	2.0    	0.0     	0.0             	0.0      	2.0  	2.0             	3.0        	0.0      	0.0          	3.0    	2.0       	0.0             	1.0             	0.0        	0.0          	21.0             	0.0        	0.0            	0.0           	0.0       	0.0              	1.0           	6.0     	1.0                      	0.0      	0.0          	1.0      	0.0        	0.0     	0.0   	0.0            	0.0       	1.0       	0.0           	0.0     	0.0      	0.0    	2.0     	0.0     	3.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	3.0     	0.0      	0.0      	0.0        	21.0      	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	2.0 	1.0         	0.0        	0.0       	0.0       
moon orchid              	0.0      	1.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	1.0        	0.0        	1.0       	0.0        	0.0       	0.0     	1.0       	0.0         	0.0           	1.0             	0.0         	1.0     	0.0             	0.0       	2.0      	0.0           	1.0          	1.0        	0.0        	0.0     	0.0       	1.0             	0.0          	1.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	0.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	1.0      	0.0          	0.0    	4.0       	0.0             	0.0             	0.0        	1.0          	0.0              	4.0        	2.0            	1.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	0.0        	0.0     	0.0   	0.0            	0.0       	1.0       	1.0           	1.0     	0.0      	1.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	1.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	1.0 	0.0         	0.0        	0.0       	0.0       
mexican petunia          	1.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	1.0        	0.0        	0.0       	0.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	1.0         	2.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	6.0        	0.0     	0.0       	0.0             	0.0          	0.0          	0.0        	1.0         	0.0       	0.0             	0.0             	0.0             	1.0     	1.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	1.0       	0.0             	0.0             	0.0        	1.0          	0.0              	3.0        	10.0           	1.0           	0.0       	3.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	0.0       	3.0           	1.0     	0.0      	1.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	1.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	1.0          	1.0 	0.0         	0.0        	0.0       	0.0       
balloon flower           	1.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	1.0       	1.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	0.0     	1.0             	0.0       	0.0      	3.0           	5.0          	0.0        	0.0        	0.0     	3.0       	2.0             	0.0          	0.0          	0.0        	1.0         	0.0       	0.0             	5.0             	0.0             	4.0     	0.0    	0.0     	0.0             	0.0      	2.0  	0.0             	0.0        	3.0      	0.0          	0.0    	0.0       	1.0             	0.0             	0.0        	0.0          	0.0              	0.0        	2.0            	2.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	0.0       	1.0           	1.0     	0.0      	1.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	1.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	0.0        	0.0       	1.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
poinsettia               	0.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	2.0       	0.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	1.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	5.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	0.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	1.0             	1.0        	0.0          	0.0              	0.0        	0.0            	0.0           	12.0      	0.0              	1.0           	0.0     	0.0                      	0.0      	1.0          	1.0      	0.0        	0.0     	2.0   	0.0            	0.0       	0.0       	0.0           	2.0     	0.0      	0.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	1.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	2.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	1.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
pincushion flower        	3.0      	1.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	4.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	1.0     	0.0             	0.0       	0.0      	0.0           	3.0          	0.0        	0.0        	0.0     	0.0       	0.0             	0.0          	0.0          	0.0        	0.0         	1.0       	0.0             	0.0             	0.0             	3.0     	2.0    	0.0     	1.0             	0.0      	0.0  	0.0             	0.0        	0.0      	1.0          	0.0    	2.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	1.0            	0.0           	0.0       	5.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	3.0      	0.0        	0.0     	2.0   	0.0            	0.0       	0.0       	4.0           	2.0     	0.0      	0.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	1.0 	0.0         	0.0        	0.0       	0.0       
barbeton daisy           	0.0      	0.0                 	2.0       	0.0                	2.0      	1.0          	0.0       	2.0        	1.0        	7.0       	0.0        	0.0       	4.0     	1.0       	0.0         	1.0           	0.0             	1.0         	0.0     	0.0             	0.0       	0.0      	0.0           	1.0          	0.0        	0.0        	0.0     	0.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	6.0    	1.0     	0.0             	0.0      	3.0  	8.0             	1.0        	0.0      	0.0          	4.0    	2.0       	0.0             	0.0             	4.0        	0.0          	0.0              	0.0        	1.0            	0.0           	6.0       	0.0              	19.0          	0.0     	0.0                      	0.0      	1.0          	0.0      	0.0        	0.0     	1.0   	0.0            	0.0       	6.0       	0.0           	0.0     	0.0      	1.0    	0.0     	0.0     	12.0      	0.0   	0.0                     	0.0              	0.0             	1.0            	0.0  	0.0                  	0.0               	8.0     	0.0      	4.0      	0.0        	2.0       	0.0             	4.0      	1.0          	0.0          	1.0       	0.0          	7.0 	1.0         	0.0        	0.0       	0.0       
