                 	bindweed	buttercup	crocus	daffodil	daisy	dandelion	foxglove	grape_hyacinths	japanese_anemone	lilypad	orchids	poppy	rose	sunflower	thistle	viola	yellow_wildflower
bindweed         	29.0    	2.0      	1.0   	1.0     	7.0  	0.0      	4.0     	0.0            	0.0             	10.0   	6.0    	0.0  	3.0 	0.0      	1.0    	6.0  	0.0              
buttercup        	0.0     	8.0      	0.0   	1.0     	0.0  	10.0     	1.0     	0.0            	0.0             	2.0    	0.0    	1.0  	2.0 	1.0      	0.0    	3.0  	2.0              
crocus           	0.0     	0.0      	3.0   	0.0     	0.0  	0.0      	3.0     	1.0            	1.0             	1.0    	0.0    	0.0  	0.0 	0.0      	0.0    	1.0  	0.0              
daffodil         	1.0     	1.0      	0.0   	2.0     	0.0  	1.0      	5.0     	2.0            	0.0             	6.0    	1.0    	0.0  	3.0 	1.0      	0.0    	1.0  	1.0              
daisy            	6.0     	0.0      	0.0   	0.0     	9.0  	0.0      	0.0     	0.0            	0.0             	4.0    	1.0    	0.0  	3.0 	0.0      	0.0    	0.0  	0.0              
dandelion        	1.0     	13.0     	0.0   	8.0     	1.0  	20.0     	5.0     	0.0            	0.0             	3.0    	0.0    	3.0  	4.0 	17.0     	1.0    	3.0  	3.0              
foxglove         	2.0     	1.0      	5.0   	5.0     	0.0  	0.0      	40.0    	3.0            	2.0             	10.0   	1.0    	1.0  	10.0	2.0      	1.0    	9.0  	1.0              
grape_hyacinths  	0.0     	0.0      	3.0   	0.0     	0.0  	0.0      	5.0     	6.0            	0.0             	0.0    	1.0    	1.0  	0.0 	0.0      	5.0    	7.0  	0.0              
japanese_anemone 	0.0     	0.0      	1.0   	1.0     	0.0  	0.0      	1.0     	3.0            	4.0             	0.0    	0.0    	0.0  	0.0 	0.0      	1.0    	2.0  	0.0              
lilypad          	13.0    	4.0      	5.0   	8.0     	3.0  	5.0      	10.0    	4.0            	1.0             	53.0   	2.0    	4.0  	9.0 	3.0      	8.0    	6.0  	0.0              
orchids          	1.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	8.0    	0.0  	0.0 	0.0      	0.0    	1.0  	0.0              
poppy            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	1.0     	0.0            	0.0             	0.0    	0.0    	5.0  	1.0 	0.0      	0.0    	0.0  	0.0              
rose             	1.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	2.0 	0.0      	1.0    	0.0  	0.0              
sunflower        	0.0     	3.0      	0.0   	1.0     	0.0  	1.0      	1.0     	0.0            	0.0             	4.0    	0.0    	2.0  	0.0 	4.0      	1.0    	1.0  	5.0              
thistle          	0.0     	1.0      	0.0   	0.0     	0.0  	0.0      	4.0     	1.0            	0.0             	1.0    	0.0    	2.0  	0.0 	1.0      	4.0    	0.0  	1.0              
viola            	6.0     	0.0      	2.0   	0.0     	3.0  	1.0      	2.0     	1.0            	0.0             	1.0    	0.0    	0.0  	1.0 	0.0      	1.0    	3.0  	0.0              
yellow_wildflower	0.0     	3.0      	0.0   	3.0     	1.0  	8.0      	0.0     	0.0            	0.0             	2.0    	0.0    	1.0  	0.0 	2.0      	0.0    	0.0  	14.0             

Accuracy = 34.13078149920255%

Balanced Accuracy = 30.2266600665635%
