                 	bindweed	buttercup	crocus	daffodil	daisy	dandelion	foxglove	grape_hyacinths	japanese_anemone	lilypad	orchids	poppy	rose	sunflower	thistle	viola	yellow_wildflower
bindweed         	37.0    	3.0      	2.0   	6.0     	2.0  	1.0      	8.0     	2.0            	0.0             	11.0   	11.0   	1.0  	6.0 	1.0      	2.0    	4.0  	0.0              
buttercup        	0.0     	8.0      	0.0   	1.0     	4.0  	22.0     	2.0     	0.0            	0.0             	1.0    	0.0    	2.0  	2.0 	2.0      	1.0    	1.0  	4.0              
crocus           	1.0     	0.0      	5.0   	2.0     	0.0  	1.0      	7.0     	2.0            	0.0             	8.0    	0.0    	0.0  	1.0 	1.0      	2.0    	4.0  	0.0              
daffodil         	1.0     	4.0      	0.0   	5.0     	1.0  	1.0      	4.0     	0.0            	0.0             	6.0    	0.0    	2.0  	1.0 	3.0      	0.0    	0.0  	0.0              
daisy            	2.0     	1.0      	0.0   	1.0     	4.0  	1.0      	1.0     	0.0            	0.0             	3.0    	0.0    	0.0  	0.0 	0.0      	0.0    	0.0  	0.0              
dandelion        	1.0     	12.0     	0.0   	6.0     	5.0  	18.0     	4.0     	2.0            	0.0             	8.0    	1.0    	6.0  	6.0 	14.0     	3.0    	2.0  	0.0              
foxglove         	7.0     	1.0      	1.0   	2.0     	2.0  	0.0      	30.0    	2.0            	2.0             	6.0    	1.0    	0.0  	8.0 	1.0      	1.0    	9.0  	0.0              
grape_hyacinths  	0.0     	0.0      	5.0   	0.0     	0.0  	0.0      	6.0     	7.0            	0.0             	1.0    	1.0    	0.0  	0.0 	0.0      	7.0    	7.0  	0.0              
japanese_anemone 	0.0     	0.0      	0.0   	0.0     	1.0  	0.0      	0.0     	1.0            	5.0             	0.0    	0.0    	0.0  	0.0 	0.0      	1.0    	1.0  	0.0              
lilypad          	2.0     	3.0      	1.0   	2.0     	3.0  	0.0      	6.0     	4.0            	0.0             	40.0   	2.0    	4.0  	6.0 	1.0      	3.0    	8.0  	0.0              
orchids          	1.0     	0.0      	0.0   	0.0     	0.0  	0.0      	1.0     	0.0            	0.0             	2.0    	2.0    	0.0  	0.0 	0.0      	0.0    	1.0  	0.0              
poppy            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	1.0     	0.0            	0.0             	0.0    	0.0    	1.0  	1.0 	0.0      	0.0    	0.0  	1.0              
rose             	0.0     	0.0      	1.0   	0.0     	0.0  	0.0      	2.0     	1.0            	0.0             	2.0    	0.0    	3.0  	4.0 	1.0      	1.0    	0.0  	0.0              
sunflower        	0.0     	2.0      	0.0   	2.0     	0.0  	0.0      	1.0     	0.0            	0.0             	1.0    	0.0    	0.0  	0.0 	4.0      	0.0    	0.0  	0.0              
thistle          	0.0     	2.0      	0.0   	1.0     	0.0  	0.0      	1.0     	0.0            	1.0             	0.0    	1.0    	1.0  	0.0 	0.0      	3.0    	1.0  	1.0              
viola            	8.0     	0.0      	5.0   	0.0     	1.0  	0.0      	8.0     	0.0            	0.0             	5.0    	1.0    	0.0  	2.0 	2.0      	0.0    	4.0  	0.0              
yellow_wildflower	0.0     	0.0      	0.0   	2.0     	1.0  	2.0      	0.0     	0.0            	0.0             	3.0    	0.0    	0.0  	1.0 	1.0      	0.0    	1.0  	21.0             

Accuracy = 31.57894736842105%

Balanced Accuracy = 29.00106556170488%
