                         	alpine sea holly	anthurium	artichoke	azalea	ball moss	balloon flower	barbeton daisy	bearded iris	bee balm	bird of paradise	bishop of llandaff	black-eyed susan	blackberry lily	blanket flower	bolero deep blue	bougainvillea	bromelia	buttercup	californian poppy	camellia	canna lily	canterbury bells	cape flower	carnation	cautleya spicata	clematis	colt's foot	columbine	common dandelion	corn poppy	cyclamen	daffodil	desert-rose	english marigold	fire lily	foxglove	frangipani	fritillary	garden phlox	gaura	gazania	geranium	giant white arum lily	globe thistle	globe-flower	grape hyacinth	great masterwort	hard-leaved pocket orchid	hibiscus	hippeastrum	japanese anemone	king protea	lenten rose	lotus	love in the mist	magnolia	mallow	marigold	mexican aster	mexican petunia	monkshood	moon orchid	morning glory	orange dahlia	osteospermum	oxeye daisy	passion flower	pelargonium	peruvian lily	petunia	pincushion flower	pink primrose	pink-yellow dahlia	poinsettia	primula	prince of wales feathers	purple coneflower	red ginger	rose	ruby-lipped cattleya	siam tulip	silverbush	snapdragon	spear thistle	spring crocus	stemless gentian	sunflower	sweet pea	sweet william	sword lily	thorn apple	tiger lily	toad lily	tree mallow	tree poppy	trumpet creeper	wallflower	water lily	watercress	wild pansy	windflower	yellow iris
mallow                   	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
marigold                 	0.0             	1.0      	0.0      	2.0   	0.0      	0.0           	0.0           	2.0         	0.0     	0.0             	0.0               	0.0             	1.0            	2.0           	0.0             	1.0          	1.0     	1.0      	0.0              	0.0     	0.0       	0.0             	0.0        	1.0      	0.0             	1.0     	0.0        	0.0      	0.0             	1.0       	1.0     	0.0     	1.0        	2.0             	0.0      	2.0     	0.0       	0.0       	1.0         	0.0  	0.0    	2.0     	0.0                  	1.0          	0.0         	0.0           	1.0             	3.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	3.0  	0.0             	0.0     	0.0   	1.0     	0.0          	2.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	6.0    	0.0              	0.0          	3.0               	2.0       	1.0    	0.0                     	0.0              	0.0       	1.0 	0.0                 	0.0       	0.0       	0.0       	1.0          	0.0          	0.0             	0.0      	0.0      	0.0          	1.0       	3.0        	0.0       	1.0      	1.0        	1.0       	1.0            	0.0       	4.0       	2.0       	0.0       	1.0       	0.0        
mexican aster            	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
mexican petunia          	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
monkshood                	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	1.0      	0.0              	1.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	1.0       	0.0     	0.0     	0.0        	0.0             	0.0      	2.0     	1.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	1.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	1.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	1.0       	1.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	1.0        	0.0       	0.0      	0.0        	1.0       	0.0            	0.0       	0.0       	1.0       	0.0       	0.0       	0.0        
moon orchid              	0.0             	2.0      	1.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	2.0             	0.0               	0.0             	0.0            	1.0           	0.0             	3.0          	1.0     	0.0      	0.0              	3.0     	0.0       	0.0             	1.0        	3.0      	0.0             	0.0     	2.0        	0.0      	0.0             	0.0       	1.0     	0.0     	0.0        	0.0             	0.0      	2.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	2.0                  	0.0          	0.0         	0.0           	0.0             	2.0                      	1.0     	3.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	1.0   	0.0     	0.0          	1.0            	0.0      	2.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	1.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	1.0              	0.0       	1.0 	1.0                 	0.0       	0.0       	1.0       	0.0          	0.0          	0.0             	0.0      	0.0      	1.0          	0.0       	6.0        	0.0       	0.0      	0.0        	0.0       	2.0            	0.0       	9.0       	0.0       	1.0       	0.0       	0.0        
morning glory            	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
orange dahlia            	0.0             	0.0      	0.0      	0.0   	1.0      	1.0           	1.0           	0.0         	0.0     	1.0             	0.0               	0.0             	0.0            	0.0           	0.0             	2.0          	2.0     	0.0      	1.0              	0.0     	1.0       	0.0             	1.0        	0.0      	0.0             	0.0     	1.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	3.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	1.0             	0.0                      	1.0     	0.0        	0.0             	0.0        	0.0        	2.0  	2.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	6.0          	1.0         	0.0        	0.0           	0.0        	1.0          	1.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	1.0              	0.0       	2.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	1.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	1.0       	0.0       	0.0       	0.0        
osteospermum             	1.0             	1.0      	0.0      	1.0   	0.0      	0.0           	1.0           	0.0         	0.0     	1.0             	1.0               	2.0             	0.0            	0.0           	0.0             	4.0          	0.0     	0.0      	1.0              	1.0     	2.0       	0.0             	0.0        	1.0      	1.0             	1.0     	0.0        	1.0      	1.0             	1.0       	1.0     	1.0     	1.0        	3.0             	0.0      	1.0     	8.0       	0.0       	0.0         	1.0  	0.0    	3.0     	0.0                  	1.0          	0.0         	0.0           	2.0             	1.0                      	1.0     	0.0        	0.0             	0.0        	3.0        	4.0  	2.0             	0.0     	0.0   	0.0     	1.0          	1.0            	0.0      	0.0        	0.0          	1.0          	2.0         	0.0        	1.0           	0.0        	3.0          	11.0   	1.0              	0.0          	3.0               	0.0       	0.0    	1.0                     	2.0              	2.0       	3.0 	0.0                 	0.0       	1.0       	1.0       	0.0          	0.0          	0.0             	0.0      	2.0      	0.0          	1.0       	0.0        	2.0       	1.0      	0.0        	1.0       	0.0            	3.0       	2.0       	4.0       	2.0       	0.0       	0.0        
oxeye daisy              	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
